x	y	class	name	color
110.20302375809935	6.295896328293736		connec	255
218.28181818181818	4.372727272727273		inflam	65280
157.30574712643678	23.211494252873564		connec	255
189.74503311258277	34.890728476821195		connec	255
216.64018691588785	40.626168224299064		inflam	65280
178.28115942028987	61.29855072463768		connec	255
200.00877192982455	68.36549707602339		connec	255
213.89460784313727	96.04901960784314		connec	255
217.544	130.564		connec	255
201.98046875	156.375		inflam	65280
215.34883720930233	169.94503171247356		connec	255
196.66420664206643	173.30627306273064		connec	255
204.21761658031087	200.22927461139898		connec	255
181.84324324324325	199.01081081081082		connec	255
158.91094147582697	209.4376590330789		connec	255
173.03988603988603	218.24216524216524		connec	255
132.4179104477612	220.40298507462686		connec	255
